Timestamp,Temperature,Pressure,Altitude
2024-09-19 08:43:33,26.86,98776.50,214.37
2024-09-19 08:43:33,26.86,98776.50,214.37
2024-09-19 08:43:33,26.86,98776.50,214.37
2024-09-19 08:43:33,26.86,98776.50,214.37
2024-09-19 08:43:33,26.86,98776.50,214.37
2024-09-19 08:43:33,26.86,98765.48,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
2024-09-19 08:43:33,26.93,98774.89,214.51
